Title,Company,Location,Salary Range,URL,Posted Date,Remote?,Match Score,Notes,Required Skills,Skills Gap,Visa Sponsorship
Principal SRE,Scaleway,Rouen/Lille/Lyon/Toulouse/Bordeaux,France,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Principal%20SRE%20Scaleway,1 week ago,Hybrid,95,"French cloud provider, Principal level, strong platform work","Kubernetes, AWS/GCP, Terraform, CI/CD, Observability","Same - good match","Likely (EU company)",SRE best practices, disaster recovery, multi-region architecture - all match
Staff Site Reliability Engineer,Personio,Dublin or Berlin,"€100,000 - €140,000",https://www.linkedin.com/jobs/search/?keywords=Staff%20Site%20Reliability%20Personio,2 weeks ago,Hybrid,93,"HR software company, Staff level SRE role","Kubernetes, AWS/GCP, Terraform, Python/Go","Strong match on platform/Infrastructure","Yes - Irish work permit",SRE at scale, observability, SLO/SLI - all match candidate
Senior Staff Site Reliability Engineer,Udemy,Dublin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Senior%20Staff%20SRE%20Udemy,2 weeks ago,Not disclosed,91,"Online learning platform, Staff level role","Kubernetes, AWS, Python, distributed systems","Strong match","Likely",High-scale SRE experience, content delivery - matches candidate
Senior Site Reliability Engineer - Platform & Cloud FinOps,Hopper,Dublin (100% Remote - Ireland),Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Senior%20SRE%20Hopper,2 weeks ago,Remote,92,"Travel tech company, 100% remote Ireland, FinOps focus","AWS, Kubernetes, FinOps, Python","Strong platform skills match","Yes - Ireland visa sponsorship",Multi-cloud platform, cost optimization - relevant
Staff Engineer Site Reliability,LearnUpon,Dublin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Staff%20Engineer%20SRE%20LearnUpon,2 weeks ago,Not disclosed,90,"Learning management platform, Staff level","Kubernetes, AWS, Python, CI/CD","Strong match","Likely",LMS platform scale, observability - matches
Senior Systems Engineer Site Reliability Engineering,Google,Dublin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Senior%20Systems%20SRE%20Google%20Dublin,1 day ago,Hybrid,94,"Google Dublin, Senior level SRE","Linux, Python, Kubernetes, distributed systems","Excellent match - Google's SRE culture","Yes - Google visa sponsorship",Large-scale distributed systems - perfect match
Senior Site Reliability Engineer,Etsy,Dublin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Senior%20SRE%20Etsy%20Dublin,2 weeks ago,Not disclosed,91,"E-commerce platform, Senior Staff level","Kubernetes, AWS, Python, Java","Strong match","Yes",Search platform SRE - interesting for candidate
Lead SRE,Mastercard,Dublin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Lead%20SRE%20Mastercard%20Dublin,2 weeks ago,Not disclosed,89,"Payment technology, Lead SRE Network Engineer","Network engineering, SRE, AWS/GCP","Strong match for network-focused SRE","Yes - Mastercard",Network infrastructure, payment systems - matches disaster recovery background
Global SRE Lead - Trading,Hunter Bond,London,£120,000 - £200,000 + Bonus,https://www.linkedin.com/jobs/search/?keywords=Global%20SRE%20Lead%20Trading%20London,2 days ago,Not disclosed,96,"Trading/finance sector, Lead level with high salary","SRE, Kubernetes, trading systems, observability","Excellent match for financial services background","Yes - UK Skilled Worker visa","High salary, trading infrastructure - matches BNY Mellon background
SRE Transformation Lead,Pontoon Solutions,London (Global Banking & Payments),Not disclosed,https://www.linkedin.com/jobs/search/?keywords=SRE%20Transformation%20Lead%20London,10 hours ago,Not disclosed,94,"Banking/financial services transformation, Lead level","SRE transformation, banking, AWS/Kubernetes","Perfect match for BNY Mellon experience","Likely - via client (bank)","DR testing, failover strategies - perfect fit
Lead Site Reliability Engineer (d/f/m),Personio,Berlin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Lead%20SRE%20Personio%20Berlin,1 week ago,Not disclosed,88,"HR software company, Lead SRE role in Berlin","Kubernetes, AWS/GCP, Python, SRE best practices","Strong match","Yes - German Blue Card possible",SRE leadership, platform engineering - matches
Senior Site Reliability Engineer,GetYourGuide,Berlin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Senior%20SRE%20GetYourGuide%20Berlin,9 hours ago,Not disclosed,90,"Traveltech, strong engineering culture, Berlin","Kubernetes, AWS, Python, observability","Strong match","Likely - German visa",Observability, platform scale - matches
Senior Site Reliability Engineer,Redcare Pharmacy,Berlin,"€110,000 - €120,000",https://www.linkedin.com/jobs/search/?keywords=Senior%20SRE%20Redcare%20Pharmacy%20Berlin,1 week ago,Not disclosed,87,"Pharmacy tech, Senior SRE with salary range","Kubernetes, AWS, CI/CD, Python","Good match","Yes - German Blue Card possible",Healthcare platform SRE - interesting for disaster recovery background
Site Reliability Engineer (SRE) Kubernetes/Platform,Findr,Berlin/Frankfurt,"€110,000 - €120,000",https://www.linkedin.com/jobs/search/?keywords=SRE%20Kubernetes%20Berlin%20Findr,1 day ago,Not disclosed,89,"Platform SRE role with clear salary, Berlin/Frankfurt","Kubernetes, AWS, Terraform, CI/CD, Python","Strong match","Yes - German visa sponsorship",Kubernetes platform engineering - perfect match
Senior Site Reliability Engineer,ING Deutschland,Berlin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Senior%20SRE%20ING%20Deutschland%20Berlin,2 months ago,Not disclosed,91,"Major Dutch-German bank, Senior SRE","Kubernetes, AWS, Java, observability","Strong match for banking background","Yes - German visa",Banking/financial infrastructure SRE - matches candidate's BNY Mellon exp
Senior Site Reliability Engineer,Doctolib,Paris,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Senior%20SRE%20Doctolib%20Paris,2 days ago,Not disclosed,86,"Healthcare platform, observability focus","Kubernetes, AWS, observability tools, Python","Good match","Likely - French visa",Observability focus - matches Prometheus/Grafana expertise
Site Reliability Engineer (SRE),Ripple,Dublin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Site%20Reliability%20Engineer%20Ripple%20Dublin,2 weeks ago,Not disclosed,85,"Cryptocurrency/blockchain, SRE role","Kubernetes, AWS/GCP, Python, distributed systems","Good match","Yes",Blockchain/crypto infrastructure - interesting for candidate
Senior Site Reliability Engineer,Circle,Berlin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Senior%20SRE%20Circle%20Berlin,4 days ago,Not disclosed,85,"Stablecoin/crypto company, Berlin SRE","Kubernetes, AWS, Python, observability","Good match","Likely - German visa",Crypto infrastructure - interesting
Principal Platform Engineer,Whitehall Resources,Sheffield (UK),Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Principal%20Platform%20Engineer%20Sheffield,5 days ago,Not disclosed,83,"Principal level, infrastructure platform","Kubernetes, AWS, Terraform, Python","Good match","Yes - UK Skilled Worker",Principal level - matches candidate's 17 years experience
Platform Engineer,Bank of Ireland,Dublin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Platform%20Engineer%20Bank%20Ireland%20Dublin,1 day ago,Not disclosed,82,"Irish bank, platform engineering role","Kubernetes, AWS, Azure, CI/CD","Good match for banking","Yes - Irish work permit",Banking platform - matches financial services background
Lead Platform Engineer,Deutsche Bank,Bucharest (Remote),Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Lead%20Platform%20Engineer%20Deutsche%20Bank,1 day ago,Not disclosed,90,"Major investment bank, Lead Platform role","Kubernetes, AWS, Python, platform engineering","Excellent match for banking background","Yes - EU work permit",Deutsche Bank - strong financial services brand, platform leadership
Principal Platform Engineer,Engage People Recruitment,Dublin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Principal%20Platform%20Engineer%20Dublin,3 hours ago,Not disclosed,88,"Principal level platform engineering","Kubernetes, AWS/GCP, Terraform, Python","Strong match","Yes - Irish visa",Principal level - good for 17 years experience
SRE Lead,Fulcrum Digital Inc,Dublin,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=SRE%20Lead%20Fulcrum%20Dublin,1 day ago,Not disclosed,85,"SRE Lead role, Dublin","SRE, Kubernetes, AWS, CI/CD","Good match","Yes - Irish visa",SRE leadership role
Staff Software Engineer Platform,Chainguard,United Kingdom,Not disclosed,https://www.linkedin.com/jobs/search/?keywords=Staff%20Software%20Engineer%20Platform%20Chainguard,1 week ago,Not disclosed,87,"Container security company, Staff level","Kubernetes, Go, AWS, security","Good match - security focus aligns with cyber recovery","Likely - UK visa",Container security - interesting for cyber recovery background
